,categories,delivery.id,delivery.provider.icon.name,delivery.provider.icon.prefix,delivery.provider.icon.sizes,delivery.provider.name,delivery.url,hasPerk,id,location.address,location.cc,location.city,location.country,location.crossStreet,location.distance,location.formattedAddress,location.labeledLatLngs,location.lat,location.lng,location.postalCode,location.state,name,referralId,venuePage.id
21,"[{'id': '4bf58dd8d48988d111941735', 'name': 'Japanese Restaurant', 'pluralName': 'Japanese Restaurants', 'shortName': 'Japanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4f207c3ee4b0dbf58c8810b7,1293 W 9th St,US,Cleveland,United States,,661,"['1293 W 9th St', 'Cleveland, OH 44113', 'United States']","[{'label': 'display', 'lat': 41.499269795187146, 'lng': -81.70071863985751}]",41.499269795187146,-81.70071863985751,44113,OH,Tomo Sushi & Hibachi Restaurant & Lounge,v-1543089334,
22,"[{'id': '4bf58dd8d48988d1c1941735', 'name': 'Mexican Restaurant', 'pluralName': 'Mexican Restaurants', 'shortName': 'Mexican', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/mexican_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4b26c967f964a520eb8024e3,1313 W 117th St,US,Cleveland,United States,,6378,"['1313 W 117th St', 'Cleveland, OH 44107', 'United States']","[{'label': 'display', 'lat': 41.485854228967085, 'lng': -81.76848375708056}]",41.485854228967085,-81.76848375708056,44107,OH,El Jalapeños Authentic Mexican Restaurant,v-1543089334,
23,"[{'id': '4bf58dd8d48988d147941735', 'name': 'Diner', 'pluralName': 'Diners', 'shortName': 'Diner', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/diner_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4accf648f964a52048ca20e3,11616 Detroit Ave,US,Cleveland,United States,,6405,"['11616 Detroit Ave', 'Cleveland, OH 44102', 'United States']","[{'label': 'display', 'lat': 41.48342434486995, 'lng': -81.76810518447658}]",41.48342434486995,-81.76810518447658,44102,OH,My Friends Restaurant,v-1543089334,
24,"[{'id': '4d4b7105d754a06374d81259', 'name': 'Food', 'pluralName': 'Food', 'shortName': 'Food', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4f32385b19836c91c7c1fbc6,815 Superior Ave E,US,Cleveland,United States,,605,"['815 Superior Ave E', 'Cleveland, OH 44114', 'United States']","[{'label': 'display', 'lat': 41.50159, 'lng': -81.689703}]",41.50159,-81.689703,44114,OH,Mannys Cozy Corner Restaurant,v-1543089334,
25,"[{'id': '4d4b7105d754a06374d81259', 'name': 'Food', 'pluralName': 'Food', 'shortName': 'Food', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4f32572d19836c91c7ce2420,815 Superior Ave E,US,Cleveland,United States,,605,"['815 Superior Ave E', 'Cleveland, OH 44114', 'United States']","[{'label': 'display', 'lat': 41.50159, 'lng': -81.689703}]",41.50159,-81.689703,44114,OH,A Better Place Restaurant,v-1543089334,
26,"[{'id': '4bf58dd8d48988d111941735', 'name': 'Japanese Restaurant', 'pluralName': 'Japanese Restaurants', 'shortName': 'Japanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,55931c0c498e38571aa79221,1313 W 6th St,US,Cleveland,United States,,573,"['1313 W 6th St', 'Cleveland, OH 44113', 'United States']","[{'label': 'display', 'lat': 41.499833403558966, 'lng': -81.69910850082299}]",41.499833403558966,-81.69910850082299,44113,OH,Hanabi Japanese Restaurant,v-1543089334,
27,"[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4f32b8c419836c91c7f33e96,1213 W 6th St,US,Cleveland,United States,,657,"['1213 W 6th St', 'Cleveland, OH 44113', 'United States']","[{'label': 'display', 'lat': 41.500718, 'lng': -81.699472}]",41.500718,-81.699472,44113,OH,Sinergy Restaurant and Lounge,v-1543089334,
28,[],,,,,,,False,4e49773ba80997a2dbe690a0,,US,Cleveland,United States,,671,"['Cleveland, OH', 'United States']","[{'label': 'display', 'lat': 41.498046, 'lng': -81.685519}]",41.498046,-81.685519,,OH,Huron/E 9th Restaurant Lounge Area,v-1543089334,
29,"[{'id': '4bf58dd8d48988d14e941735', 'name': 'American Restaurant', 'pluralName': 'American Restaurants', 'shortName': 'American', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4adb67e0f964a520152721e3,1425 Euclid Ave,US,Cleveland,United States,,1106,"['1425 Euclid Ave', 'Cleveland, OH 44115', 'United States']","[{'label': 'display', 'lat': 41.50088815373206, 'lng': -81.68126656669872}]",41.50088815373206,-81.68126656669872,44115,OH,Otto Moser's Restaurant,v-1543089334,
30,"[{'id': '4bf58dd8d48988d14e941735', 'name': 'American Restaurant', 'pluralName': 'American Restaurants', 'shortName': 'American', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4d8a984f7d4c5481392d6d71,,US,,United States,,788,"['Ohio', 'United States']","[{'label': 'display', 'lat': 41.500629, 'lng': -81.685376}]",41.500629,-81.685376,,Ohio,Hannah Restaurant,v-1543089334,
31,"[{'id': '4bf58dd8d48988d14e941735', 'name': 'American Restaurant', 'pluralName': 'American Restaurants', 'shortName': 'American', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4b606d59f964a5204de529e3,1260 Euclid Ave,US,Cleveland,United States,,940,"['1260 Euclid Ave', 'Cleveland, OH 44115', 'United States']","[{'label': 'display', 'lat': 41.500648723538546, 'lng': -81.68331291721037}]",41.500648723538546,-81.68331291721037,44115,OH,Encore Restaurant,v-1543089334,
